Product Name,Rating,Customers_Rated,Price,Category
"Powerbeats Pro Wireless Earphones - Apple H1 Headphone Chip, Class 1 Bluetooth, 9 Hours of Listening Time, Sweat Resistant Ea",4.6 out of 5 stars,"65,065",$134.96,Electronics
"Amazon Basics Tall Kitchen Drawstring Trash Bags, 13 Gallon, 120 Count (Previously Solimo)",4.7 out of 5 stars,"110,901",$19.88,Health and Household
Spare,,Prince Harry  The Duke of Sussex,$23.12,Books
"Tide PODS 4 in 1 Ultra Oxi Laundry Detergent Soap PODS, High Efficiency (HE), 61 Count",4.8 out of 5 stars,"18,696",$21.28,Health and Household
"Energizer AA Batteries, Double A Long-Lasting Alkaline Power Batteries, 32 Count (Pack of 1)",4.8 out of 5 stars,"8,454",$25.98,Health and Household
"A Court of Thorns and Roses (A Court of Thorns and Roses, 1)",4.7 out of 5 stars,"70,183",$10.37,Books
Maybe Not: A Novella (2) (Maybe Someday),4.4 out of 5 stars,"6,065",$8.89,Books
Christmas in the Manger,4.8 out of 5 stars,"4,979",$5.34,Books
Jumbo Book of Hidden Pictures (Highlights Jumbo Books & Pads),4.8 out of 5 stars,Highlights,$6.95,Books
"TOZO A2 Mini Wireless Earbuds Bluetooth 5.3 in Ear Light-Weight Headphones Built-in Microphone, IPX5 Waterproof, Immersive Pr",4.6 out of 5 stars,489,$16.99,Electronics
Good Boundaries and Goodbyes: Loving Others Without Losing the Best of Who You Are,4.9 out of 5 stars,133,$19.38,Books
"BERIBES Bluetooth Headphones Over Ear, 65H Playtime and 3 EQ Music Modes Wireless Headphones with Microphone, HiFi Stereo Fol",4.5 out of 5 stars,"2,787",$16.99,Electronics
"Bona Hardwood Floor Cleaner Refill, 128 Fl Oz",4.8 out of 5 stars,"23,770",$23.07,Health and Household
Pete the Cat: The First Thanksgiving,4.7 out of 5 stars,"3,272",$6.28,Books
"Twisted Love (Twisted, 1)",4.2 out of 5 stars,Ana Huang,$11.70,Books
"Universal Remote Control Compatible for Samsung Smart-TV LCD LED UHD QLED 4K HDR TVs, with Netflix, Prime Video Buttons",4.3 out of 5 stars,"6,336",$13.97,Electronics
Dear Zoo: A Lift-the-Flap Book,4.8 out of 5 stars,Rod Campbell,$5.00,Books
The Baby-sitters Club Graphic Novels #1-7: A Graphix Collection: Full-Color Edition (The Baby-Sitters Club Graphix),4.9 out of 5 stars,Gale Galligan,$38.30,Books
"Simple & Big Coloring Book for Toddler: 100 Easy And Fun Coloring Pages For Kids, Preschool and Kindergarten (For Kids Ages 1-4)",4.8 out of 5 stars,"3,464",$5.99,Books
